,ID,Generation,Region,Name,Type,Pokémon.Role,Legendary,Sex,Height,Weight,Health,Attack,Sp.Attack,Defense,Sp.Defense,Speed,Total,Abilities,Height.ft,Weight.lbs,Weight.Class,Height.Class
542,282,6,Kalos,"Gardevoir
Mega Gardevoir",Psychic,"Mage, DPS Ranged",No,"Male, Female",1.6 m (5′03″),48.4 kg (106.7 lbs),68,85,165,65,135,100,618,"Synchronize, Trace, Telepathy",5.03,106.7,Class 3,Class 4
543,282,6,Kalos,"Gardevoir
Mega Gardevoir",Fairy,"Mage, DPS Ranged",No,"Male, Female",1.6 m (5′03″),48.4 kg (106.7 lbs),68,85,165,65,135,100,618,"Synchronize, Trace, Telepathy",5.03,106.7,Class 3,Class 4
544,283,3,Hoenn,Surskit,Bug,Support,No,"Male, Female",0.5 m (1′08″),1.7 kg (3.7 lbs),40,30,50,32,52,65,269,"Swift Swim, Rain Dish",1.08,3.7,Class 1,Class 1
545,283,3,Hoenn,Surskit,Water,Support,No,"Male, Female",0.5 m (1′08″),1.7 kg (3.7 lbs),40,30,50,32,52,65,269,"Swift Swim, Rain Dish",1.08,3.7,Class 1,Class 1
546,284,3,Hoenn,Masquerain,Bug,DPS Ranged,No,"Male, Female",0.8 m (2′07″),3.6 kg (7.9 lbs),70,60,100,62,82,80,454,"Intimidate, Unnerve",2.07,7.9,Class 1,Class 2
547,284,3,Hoenn,Masquerain,Flying,DPS Ranged,No,"Male, Female",0.8 m (2′07″),3.6 kg (7.9 lbs),70,60,100,62,82,80,454,"Intimidate, Unnerve",2.07,7.9,Class 1,Class 2
548,285,3,Hoenn,Shroomish,Grass,DPS Melee,No,"Male, Female",0.4 m (1′04″),4.5 kg (9.9 lbs),60,40,40,60,60,35,295,"Effect Spore, Poison Heal, Quick Feet",1.04,9.9,Class 1,Class 1
549,286,3,Hoenn,Breloom,Grass,"DPS Melee, Crowd Controller",No,"Male, Female",1.2 m (3′11″),39.2 kg (86.4 lbs),60,130,60,80,60,70,460,"Effect Spore, Poison Heal, Technician",3.11,86.4,Class 3,Class 3
550,286,3,Hoenn,Breloom,Fighting,"DPS Melee, Crowd Controller",No,"Male, Female",1.2 m (3′11″),39.2 kg (86.4 lbs),60,130,60,80,60,70,460,"Effect Spore, Poison Heal, Technician",3.11,86.4,Class 3,Class 3
551,287,3,Hoenn,Slakoth,Normal,Tank,No,"Male, Female",0.8 m (2′07″),24.0 kg (52.9 lbs),60,60,35,60,35,30,280,Truant,2.07,52.9,Class 2,Class 2
552,288,3,Hoenn,Vigoroth,Normal,"DPS Melee, Tank",No,"Male, Female",1.4 m (4′07″),46.5 kg (102.5 lbs),80,80,55,80,55,90,440,Vital Spirit,4.07,102.5,Class 3,Class 3
553,289,3,Hoenn,Slaking,Normal,"Tank, DPS Melee",No,"Male, Female",2.0 m (6′07″),130.5 kg (287.7 lbs),150,160,95,100,65,100,670,Truant,6.07,287.7,Class 4,Class 4
554,290,3,Hoenn,Nincada,Bug,"Scout, DPS Melee",No,"Male, Female",0.5 m (1′08″),5.5 kg (12.1 lbs),31,45,30,90,30,40,266,"Compound Eyes, Run Away",1.08,12.1,Class 1,Class 1
555,290,3,Hoenn,Nincada,Ground,"Scout, DPS Melee",No,"Male, Female",0.5 m (1′08″),5.5 kg (12.1 lbs),31,45,30,90,30,40,266,"Compound Eyes, Run Away",1.08,12.1,Class 1,Class 1
556,291,3,Hoenn,Ninjask,Bug,"Scout, DPS Melee",No,"Male, Female",0.8 m (2′07″),12.0 kg (26.5 lbs),61,90,50,45,50,160,456,"Speed Boost, Infiltrator",2.07,26.5,Class 2,Class 2
557,291,3,Hoenn,Ninjask,Flying,"Scout, DPS Melee",No,"Male, Female",0.8 m (2′07″),12.0 kg (26.5 lbs),61,90,50,45,50,160,456,"Speed Boost, Infiltrator",2.07,26.5,Class 2,Class 2
558,292,3,Hoenn,Shedinja,Bug,"Tank, Support",No,Genderless,0.8 m (2′07″),1.2 kg (2.6 lbs),1,90,30,45,30,40,236,Wonder Guard,2.07,2.6,Class 1,Class 2
559,292,3,Hoenn,Shedinja,Ghost,"Tank, Support",No,Genderless,0.8 m (2′07″),1.2 kg (2.6 lbs),1,90,30,45,30,40,236,Wonder Guard,2.07,2.6,Class 1,Class 2
560,293,3,Hoenn,Whismur,Normal,Support,No,"Male, Female",0.6 m (2′00″),16.3 kg (35.9 lbs),64,51,51,23,23,28,240,"Soundproof, Rattled",2,35.9,Class 2,Class 1
561,294,3,Hoenn,Loudred,Normal,DPS Melee,No,"Male, Female",1.0 m (3′03″),40.5 kg (89.3 lbs),84,71,71,43,43,48,360,"Soundproof, Scrappy",3.03,89.3,Class 3,Class 2
562,295,3,Hoenn,Exploud,Normal,DPS Melee,No,"Male, Female",1.5 m (4′11″),84.0 kg (185.2 lbs),104,91,91,63,73,68,490,"Soundproof, Scrappy",4.11,185.2,Class 4,Class 3
563,296,3,Hoenn,Makuhita,Fighting,"Tank, DPS Melee",No,"Male, Female",1.0 m (3′03″),86.4 kg (190.5 lbs),72,60,20,30,30,25,237,"Thick Fat, Guts, Sheer Force",3.03,190.5,Class 4,Class 2
564,297,3,Hoenn,Hariyama,Fighting,"Tank, DPS Melee",No,"Male, Female",2.3 m (7′07″),253.8 kg (559.5 lbs),144,120,40,60,60,50,474,"Thick Fat, Guts, Sheer Force",7.07,559.5,Class 4,Class 4
565,298,3,Hoenn,Azurill,Normal,"DPS Melee, Support",No,"Male, Female",0.2 m (0′08″),2.0 kg (4.4 lbs),50,20,20,40,40,20,190,"Thick Fat, Huge Power, Sap Sipper",0.08,4.4,Class 1,Class 1
566,298,3,Hoenn,Azurill,Fairy,"DPS Melee, Support",No,"Male, Female",0.2 m (0′08″),2.0 kg (4.4 lbs),50,20,20,40,40,20,190,"Thick Fat, Huge Power, Sap Sipper",0.08,4.4,Class 1,Class 1
567,299,3,Hoenn,Nosepass,Rock,"Tank, Support",No,"Male, Female",1.0 m (3′03″),97.0 kg (213.8 lbs),30,45,45,135,90,30,375,"Sturdy, Magnet Pull, Sand Force",3.03,213.8,Class 4,Class 2
568,300,3,Hoenn,Skitty,Normal,Support,No,"Male, Female",0.6 m (2′00″),11.0 kg (24.3 lbs),50,45,35,45,35,50,260,"Cute Charm, Normalize, Wonder Skin",2,24.3,Class 2,Class 1
569,301,3,Hoenn,Delcatty,Normal,"DPS Melee, Support",No,"Male, Female",1.1 m (3′07″),32.6 kg (71.9 lbs),70,65,55,65,55,90,400,"Cute Charm, Normalize, Wonder Skin",3.07,71.9,Class 3,Class 3
570,302,3,Hoenn,Sableye,Dark,"Support, DPS Melee",No,"Male, Female",0.5 m (1′08″),11.0 kg (24.3 lbs),50,75,65,75,65,50,380,"Keen Eye, Stall, Prankster",1.08,24.3,Class 2,Class 1
571,302,3,Hoenn,Sableye,Ghost,"Support, DPS Melee",No,"Male, Female",0.5 m (1′08″),11.0 kg (24.3 lbs),50,75,65,75,65,50,380,"Keen Eye, Stall, Prankster",1.08,24.3,Class 2,Class 1
572,302,6,Kalos,"Sableye
Mega Sableye",Dark,"Support, DPS Melee",No,"Male, Female",0.5 m (1′08″),11.0 kg (24.3 lbs),50,85,85,125,115,20,480,"Keen Eye, Stall, Prankster",1.08,24.3,Class 2,Class 1
573,302,6,Kalos,"Sableye
Mega Sableye",Ghost,"Support, DPS Melee",No,"Male, Female",0.5 m (1′08″),11.0 kg (24.3 lbs),50,85,85,125,115,20,480,"Keen Eye, Stall, Prankster",1.08,24.3,Class 2,Class 1
574,303,3,Hoenn,Mawile,Steel,DPS Melee,No,"Male, Female",0.6 m (2′00″),11.5 kg (25.4 lbs),50,85,55,85,55,50,380,"Hyper Cutter, Intimidate, Sheer Force",2,25.4,Class 2,Class 1
575,303,3,Hoenn,Mawile,Fairy,DPS Melee,No,"Male, Female",0.6 m (2′00″),11.5 kg (25.4 lbs),50,85,55,85,55,50,380,"Hyper Cutter, Intimidate, Sheer Force",2,25.4,Class 2,Class 1
576,303,6,Kalos,"Mawile
Mega Mawile",Steel,DPS Melee,No,"Male, Female",0.6 m (2′00″),11.5 kg (25.4 lbs),50,105,55,125,95,50,480,"Hyper Cutter, Intimidate, Sheer Force",2,25.4,Class 2,Class 1
577,303,6,Kalos,"Mawile
Mega Mawile",Fairy,DPS Melee,No,"Male, Female",0.6 m (2′00″),11.5 kg (25.4 lbs),50,105,55,125,95,50,480,"Hyper Cutter, Intimidate, Sheer Force",2,25.4,Class 2,Class 1
578,304,3,Hoenn,Aron,Steel,"Tank, DPS Melee",No,"Male, Female",0.4 m (1′04″),60.0 kg (132.3 lbs),50,70,40,100,40,30,330,"Sturdy, Rock Head, Heavy Metal",1.04,132.3,Class 3,Class 1
579,304,3,Hoenn,Aron,Rock,"Tank, DPS Melee",No,"Male, Female",0.4 m (1′04″),60.0 kg (132.3 lbs),50,70,40,100,40,30,330,"Sturdy, Rock Head, Heavy Metal",1.04,132.3,Class 3,Class 1
580,305,3,Hoenn,Lairon,Steel,"Tank, DPS Melee",No,"Male, Female",0.9 m (2′11″),120.0 kg (264.6 lbs),60,90,50,140,50,40,430,"Sturdy, Rock Head, Heavy Metal",2.11,264.6,Class 4,Class 2
581,305,3,Hoenn,Lairon,Rock,"Tank, DPS Melee",No,"Male, Female",0.9 m (2′11″),120.0 kg (264.6 lbs),60,90,50,140,50,40,430,"Sturdy, Rock Head, Heavy Metal",2.11,264.6,Class 4,Class 2
582,306,3,Hoenn,Aggron,Steel,"Tank, DPS Melee",No,"Male, Female",2.1 m (6′11″),360.0 kg (793.7 lbs),70,110,60,180,60,50,530,"Sturdy, Rock Head, Heavy Metal",6.11,793.7,Class 4,Class 4
583,306,3,Hoenn,Aggron,Rock,"Tank, DPS Melee",No,"Male, Female",2.1 m (6′11″),360.0 kg (793.7 lbs),70,110,60,180,60,50,530,"Sturdy, Rock Head, Heavy Metal",6.11,793.7,Class 4,Class 4
584,306,6,Kalos,"Aggron
Mega Aggron",Steel,"Tank, DPS Melee",No,"Male, Female",2.1 m (6′11″),360.0 kg (793.7 lbs),70,140,60,230,80,50,630,"Sturdy, Rock Head, Heavy Metal",6.11,793.7,Class 4,Class 4
585,307,3,Hoenn,Meditite,Fighting,DPS Melee,No,"Male, Female",0.6 m (2′00″),11.2 kg (24.7 lbs),30,40,40,55,55,60,280,"Pure Power, Telepathy",2,24.7,Class 2,Class 1
586,307,3,Hoenn,Meditite,Psychic,DPS Melee,No,"Male, Female",0.6 m (2′00″),11.2 kg (24.7 lbs),30,40,40,55,55,60,280,"Pure Power, Telepathy",2,24.7,Class 2,Class 1
587,308,3,Hoenn,Medicham,Fighting,"DPS Melee, Support",No,"Male, Female",1.3 m (4′03″),31.5 kg (69.4 lbs),60,60,60,75,75,80,410,"Pure Power, Telepathy",4.03,69.4,Class 3,Class 3
588,308,3,Hoenn,Medicham,Psychic,"DPS Melee, Support",No,"Male, Female",1.3 m (4′03″),31.5 kg (69.4 lbs),60,60,60,75,75,80,410,"Pure Power, Telepathy",4.03,69.4,Class 3,Class 3
589,308,6,Kalos,"Medicham
Mega Medicham",Fighting,"DPS Melee, Crowd Controller",No,"Male, Female",1.3 m (4′03″),31.5 kg (69.4 lbs),60,100,80,85,85,100,510,"Pure Power, Telepathy",4.03,69.4,Class 3,Class 3
590,308,6,Kalos,"Medicham
Mega Medicham",Psychic,"DPS Melee, Crowd Controller",No,"Male, Female",1.3 m (4′03″),31.5 kg (69.4 lbs),60,100,80,85,85,100,510,"Pure Power, Telepathy",4.03,69.4,Class 3,Class 3
591,309,3,Hoenn,Electrike,Electric,DPS Ranged,No,"Male, Female",0.6 m (2′00″),15.2 kg (33.5 lbs),40,45,65,40,40,65,295,"Static, Lightning Rod, Minus",2,33.5,Class 2,Class 1
592,310,3,Hoenn,Manectric,Electric,DPS Ranged,No,"Male, Female",1.5 m (4′11″),40.2 kg (88.6 lbs),70,75,105,60,60,105,475,"Static, Lightning Rod, Minus",4.11,88.6,Class 3,Class 3
593,310,6,Kalos,"Manectric
Mega Manectric",Electric,DPS Ranged,No,"Male, Female",1.5 m (4′11″),40.2 kg (88.6 lbs),70,75,135,80,80,135,575,"Static, Lightning Rod, Minus",4.11,88.6,Class 3,Class 3
594,311,3,Hoenn,Plusle,Electric,Support,No,"Male, Female",0.4 m (1′04″),4.2 kg (9.3 lbs),60,50,85,40,75,95,405,"Plus, Lightning Rod",1.04,9.3,Class 1,Class 1
595,312,3,Hoenn,Minun,Electric,Support,No,"Male, Female",0.4 m (1′04″),4.2 kg (9.3 lbs),60,40,75,50,85,95,405,"Minus, Volt Absorb",1.04,9.3,Class 1,Class 1
596,313,3,Hoenn,Volbeat,Bug,"Support, DPS Melee",No,Male,0.7 m (2′04″),17.7 kg (39.0 lbs),65,73,47,75,85,85,430,"Illuminate, Swarm, Prankster",2.04,39,Class 2,Class 2
597,314,3,Hoenn,Illumise,Bug,Support,No,Female,0.6 m (2′00″),17.7 kg (39.0 lbs),65,47,73,75,85,85,430,"Oblivious, Tinted Lens, Prankster",2,39,Class 2,Class 1
598,315,3,Hoenn,Roselia,Grass,"Mage, Support",No,"Male, Female",0.3 m (1′00″),2.0 kg (4.4 lbs),50,60,100,45,80,65,400,"Natural Cure, Poison Point, Leaf Guard",1,4.4,Class 1,Class 1
599,315,3,Hoenn,Roselia,Poison,"Mage, Support",No,"Male, Female",0.3 m (1′00″),2.0 kg (4.4 lbs),50,60,100,45,80,65,400,"Natural Cure, Poison Point, Leaf Guard",1,4.4,Class 1,Class 1
600,316,3,Hoenn,Gulpin,Poison,Support,No,"Male, Female",0.4 m (1′04″),10.3 kg (22.7 lbs),70,43,43,53,53,40,302,"Liquid Ooze, Sticky Hold, Gluttony",1.04,22.7,Class 2,Class 1
601,317,3,Hoenn,Swalot,Poison,"Tank, Support",No,"Male, Female",1.7 m (5′07″),80.0 kg (176.4 lbs),100,73,73,83,83,55,467,"Liquid Ooze, Sticky Hold, Gluttony",5.07,176.4,Class 4,Class 4
602,318,3,Hoenn,Carvanha,Water,DPS Melee,No,"Male, Female",0.8 m (2′07″),20.8 kg (45.9 lbs),45,90,65,20,20,65,305,"Rough Skin, Speed Boost",2.07,45.9,Class 2,Class 2
603,318,3,Hoenn,Carvanha,Dark,DPS Melee,No,"Male, Female",0.8 m (2′07″),20.8 kg (45.9 lbs),45,90,65,20,20,65,305,"Rough Skin, Speed Boost",2.07,45.9,Class 2,Class 2
604,319,3,Hoenn,Sharpedo,Water,"DPS Melee, DPS Ranged",No,"Male, Female",1.8 m (5′11″),88.8 kg (195.8 lbs),70,120,95,40,40,95,460,"Rough Skin, Speed Boost",5.11,195.8,Class 4,Class 4
605,319,3,Hoenn,Sharpedo,Dark,"DPS Melee, DPS Ranged",No,"Male, Female",1.8 m (5′11″),88.8 kg (195.8 lbs),70,120,95,40,40,95,460,"Rough Skin, Speed Boost",5.11,195.8,Class 4,Class 4
606,319,6,Kalos,"Sharpedo
Mega Sharpedo",Water,"DPS Melee, DPS Ranged",No,"Male, Female",1.8 m (5′11″),88.8 kg (195.8 lbs),70,140,110,70,65,105,560,"Rough Skin, Speed Boost",5.11,195.8,Class 4,Class 4
607,319,6,Kalos,"Sharpedo
Mega Sharpedo",Dark,"DPS Melee, DPS Ranged",No,"Male, Female",1.8 m (5′11″),88.8 kg (195.8 lbs),70,140,110,70,65,105,560,"Rough Skin, Speed Boost",5.11,195.8,Class 4,Class 4
608,320,3,Hoenn,Wailmer,Water,Tank,No,"Male, Female",2.0 m (6′07″),130.0 kg (286.6 lbs),130,70,70,35,35,60,400,"Water Veil, Oblivious, Pressure",6.07,286.6,Class 4,Class 4
609,321,3,Hoenn,Wailord,Water,"Tank, DPS Ranged",No,"Male, Female",14.5 m (47′07″),398.0 kg (877.4 lbs),170,90,90,45,45,60,500,"Water Veil, Oblivious, Pressure",47.07,877.4,Class 4,Class 4
610,322,3,Hoenn,Numel,Fire,"Tank, DPS Melee",No,"Male, Female",0.7 m (2′04″),24.0 kg (52.9 lbs),60,60,65,40,45,35,305,"Oblivious, Simple, Own Tempo",2.04,52.9,Class 2,Class 2
611,322,3,Hoenn,Numel,Ground,"Tank, DPS Melee",No,"Male, Female",0.7 m (2′04″),24.0 kg (52.9 lbs),60,60,65,40,45,35,305,"Oblivious, Simple, Own Tempo",2.04,52.9,Class 2,Class 2
612,323,3,Hoenn,Camerupt,Fire,"Tank, DPS Melee",No,"Male, Female",1.9 m (6′03″),220.0 kg (485.0 lbs),70,100,105,70,75,40,460,"Magma Armor, Solid Rock, Anger Point",6.03,485,Class 4,Class 4
613,323,3,Hoenn,Camerupt,Ground,"Tank, DPS Melee",No,"Male, Female",1.9 m (6′03″),220.0 kg (485.0 lbs),70,100,105,70,75,40,460,"Magma Armor, Solid Rock, Anger Point",6.03,485,Class 4,Class 4
614,323,6,Kalos,"Camerupt
Mega Camerupt",Fire,"Tank, DPS Melee",No,"Male, Female",1.9 m (6′03″),220.0 kg (485.0 lbs),70,120,145,100,105,20,560,"Magma Armor, Solid Rock, Anger Point",6.03,485,Class 4,Class 4
615,323,6,Kalos,"Camerupt
Mega Camerupt",Ground,"Tank, DPS Melee",No,"Male, Female",1.9 m (6′03″),220.0 kg (485.0 lbs),70,120,145,100,105,20,560,"Magma Armor, Solid Rock, Anger Point",6.03,485,Class 4,Class 4
616,324,3,Hoenn,Torkoal,Fire,"Tank, Support",No,"Male, Female",0.5 m (1′08″),80.4 kg (177.3 lbs),70,85,85,140,70,20,470,"White Smoke, Drought, Shell Armor",1.08,177.3,Class 4,Class 1
617,325,3,Hoenn,Spoink,Psychic,Support,No,"Male, Female",0.7 m (2′04″),30.6 kg (67.5 lbs),60,25,70,35,80,60,330,"Thick Fat, Own Tempo, Gluttony",2.04,67.5,Class 3,Class 2
618,326,3,Hoenn,Grumpig,Psychic,"Support, DPS Melee",No,"Male, Female",0.9 m (2′11″),71.5 kg (157.6 lbs),80,45,90,65,110,80,470,"Thick Fat, Own Tempo, Gluttony",2.11,157.6,Class 3,Class 2
619,327,3,Hoenn,Spinda,Normal,"DPS Melee, Support",No,"Male, Female",1.1 m (3′07″),5.0 kg (11.0 lbs),60,60,60,60,60,60,360,"Own Tempo, Tangled Feet, Contrary",3.07,11,Class 1,Class 3
620,328,3,Hoenn,Trapinch,Ground,DPS Melee,No,"Male, Female",0.7 m (2′04″),15.0 kg (33.1 lbs),45,100,45,45,45,10,290,"Hyper Cutter, Arena Trap, Sheer Force",2.04,33.1,Class 2,Class 2
621,329,3,Hoenn,Vibrava,Ground,DPS Melee,No,"Male, Female",1.1 m (3′07″),15.3 kg (33.7 lbs),50,70,50,50,50,70,340,Levitate,3.07,33.7,Class 2,Class 3
622,329,3,Hoenn,Vibrava,Dragon,DPS Melee,No,"Male, Female",1.1 m (3′07″),15.3 kg (33.7 lbs),50,70,50,50,50,70,340,Levitate,3.07,33.7,Class 2,Class 3
623,330,3,Hoenn,Flygon,Ground,"DPS Melee, Crowd Controller",No,"Male, Female",2.0 m (6′07″),82.0 kg (180.8 lbs),80,100,80,80,80,100,520,Levitate,6.07,180.8,Class 4,Class 4
624,330,3,Hoenn,Flygon,Dragon,"DPS Melee, Crowd Controller",No,"Male, Female",2.0 m (6′07″),82.0 kg (180.8 lbs),80,100,80,80,80,100,520,Levitate,6.07,180.8,Class 4,Class 4
625,331,3,Hoenn,Cacnea,Grass,DPS Melee,No,"Male, Female",0.4 m (1′04″),51.3 kg (113.1 lbs),50,85,85,40,40,35,335,"Sand Veil, Water Absorb",1.04,113.1,Class 3,Class 1
626,332,3,Hoenn,Cacturne,Grass,DPS Melee,No,"Male, Female",1.3 m (4′03″),77.4 kg (170.6 lbs),70,115,115,60,60,55,475,"Sand Veil, Water Absorb",4.03,170.6,Class 4,Class 3
627,332,3,Hoenn,Cacturne,Dark,DPS Melee,No,"Male, Female",1.3 m (4′03″),77.4 kg (170.6 lbs),70,115,115,60,60,55,475,"Sand Veil, Water Absorb",4.03,170.6,Class 4,Class 3
628,333,3,Hoenn,Swablu,Normal,"Support, Healer",No,"Male, Female",0.4 m (1′04″),1.2 kg (2.6 lbs),45,40,40,60,75,50,310,"Natural Cure, Cloud Nine",1.04,2.6,Class 1,Class 1
629,333,3,Hoenn,Swablu,Flying,"Support, Healer",No,"Male, Female",0.4 m (1′04″),1.2 kg (2.6 lbs),45,40,40,60,75,50,310,"Natural Cure, Cloud Nine",1.04,2.6,Class 1,Class 1
630,334,3,Hoenn,Altaria,Dragon,"Healer, DPS Ranged",No,"Male, Female",1.1 m (3′07″),20.6 kg (45.4 lbs),75,70,70,90,105,80,490,"Natural Cure, Cloud Nine",3.07,45.4,Class 2,Class 3
631,334,3,Hoenn,Altaria,Flying,"Healer, DPS Ranged",No,"Male, Female",1.1 m (3′07″),20.6 kg (45.4 lbs),75,70,70,90,105,80,490,"Natural Cure, Cloud Nine",3.07,45.4,Class 2,Class 3
632,334,6,Kalos,"Altaria
Mega Altaria",Dragon,"Healer, DPS Ranged",No,"Male, Female",1.1 m (3′07″),20.6 kg (45.4 lbs),75,110,110,110,105,80,590,"Natural Cure, Cloud Nine",3.07,45.4,Class 2,Class 3
633,334,6,Kalos,"Altaria
Mega Altaria",Fairy,"Healer, DPS Ranged",No,"Male, Female",1.1 m (3′07″),20.6 kg (45.4 lbs),75,110,110,110,105,80,590,"Natural Cure, Cloud Nine",3.07,45.4,Class 2,Class 3
634,335,3,Hoenn,Zangoose,Normal,DPS Melee,No,"Male, Female",1.3 m (4′03″),40.3 kg (88.8 lbs),73,115,60,60,60,90,458,"Immunity, Toxic Boost",4.03,88.8,Class 3,Class 3
635,336,3,Hoenn,Seviper,Poison,DPS Melee,No,"Male, Female",2.7 m (8′10″),52.5 kg (115.7 lbs),73,100,100,60,60,65,458,"Shed Skin, Infiltrator",8.1,115.7,Class 3,Class 4
636,337,3,Hoenn,Lunatone,Rock,"Mage, Support",No,Genderless,1.0 m (3′03″),168.0 kg (370.4 lbs),90,55,95,65,85,70,460,Levitate,3.03,370.4,Class 4,Class 2
637,337,3,Hoenn,Lunatone,Psychic,"Mage, Support",No,Genderless,1.0 m (3′03″),168.0 kg (370.4 lbs),90,55,95,65,85,70,460,Levitate,3.03,370.4,Class 4,Class 2
638,338,3,Hoenn,Solrock,Rock,"Mage, Support",No,Genderless,1.2 m (3′11″),154.0 kg (339.5 lbs),90,95,55,85,65,70,460,Levitate,3.11,339.5,Class 4,Class 3
639,338,3,Hoenn,Solrock,Psychic,"Mage, Support",No,Genderless,1.2 m (3′11″),154.0 kg (339.5 lbs),90,95,55,85,65,70,460,Levitate,3.11,339.5,Class 4,Class 3
640,339,3,Hoenn,Barboach,Water,Tank,No,"Male, Female",0.4 m (1′04″),1.9 kg (4.2 lbs),50,48,46,43,41,60,288,"Oblivious, Anticipation, Hydration",1.04,4.2,Class 1,Class 1
641,339,3,Hoenn,Barboach,Ground,Tank,No,"Male, Female",0.4 m (1′04″),1.9 kg (4.2 lbs),50,48,46,43,41,60,288,"Oblivious, Anticipation, Hydration",1.04,4.2,Class 1,Class 1
642,340,3,Hoenn,Whiscash,Water,"Tank, DPS Melee",No,"Male, Female",0.9 m (2′11″),23.6 kg (52.0 lbs),110,78,76,73,71,60,468,"Oblivious, Anticipation, Hydration",2.11,52,Class 2,Class 2
643,340,3,Hoenn,Whiscash,Ground,"Tank, DPS Melee",No,"Male, Female",0.9 m (2′11″),23.6 kg (52.0 lbs),110,78,76,73,71,60,468,"Oblivious, Anticipation, Hydration",2.11,52,Class 2,Class 2
644,341,3,Hoenn,Corphish,Water,DPS Melee,No,"Male, Female",0.6 m (2′00″),11.5 kg (25.4 lbs),43,80,50,65,35,35,308,"Hyper Cutter, Shell Armor, Adaptability",2,25.4,Class 2,Class 1
645,342,3,Hoenn,Crawdaunt,Water,"DPS Melee, Support",No,"Male, Female",1.1 m (3′07″),32.8 kg (72.3 lbs),63,120,90,85,55,55,468,"Hyper Cutter, Shell Armor, Adaptability",3.07,72.3,Class 3,Class 3
646,342,3,Hoenn,Crawdaunt,Dark,"DPS Melee, Support",No,"Male, Female",1.1 m (3′07″),32.8 kg (72.3 lbs),63,120,90,85,55,55,468,"Hyper Cutter, Shell Armor, Adaptability",3.07,72.3,Class 3,Class 3
647,343,3,Hoenn,Baltoy,Ground,"Support, DPS Ranged",No,Genderless,0.5 m (1′08″),21.5 kg (47.4 lbs),40,40,40,55,70,55,300,Levitate,1.08,47.4,Class 2,Class 1
648,343,3,Hoenn,Baltoy,Psychic,"Support, DPS Ranged",No,Genderless,0.5 m (1′08″),21.5 kg (47.4 lbs),40,40,40,55,70,55,300,Levitate,1.08,47.4,Class 2,Class 1
649,344,3,Hoenn,Claydol,Ground,"Mage, Support",No,Genderless,1.5 m (4′11″),108.0 kg (238.1 lbs),60,70,70,105,120,75,500,Levitate,4.11,238.1,Class 4,Class 3
650,344,3,Hoenn,Claydol,Psychic,"Mage, Support",No,Genderless,1.5 m (4′11″),108.0 kg (238.1 lbs),60,70,70,105,120,75,500,Levitate,4.11,238.1,Class 4,Class 3
651,345,3,Hoenn,Lileep,Rock,Support,No,"Male, Female",1.0 m (3′03″),23.8 kg (52.5 lbs),66,41,61,77,87,23,355,"Suction Cups, Storm Drain",3.03,52.5,Class 2,Class 2
652,345,3,Hoenn,Lileep,Grass,Support,No,"Male, Female",1.0 m (3′03″),23.8 kg (52.5 lbs),66,41,61,77,87,23,355,"Suction Cups, Storm Drain",3.03,52.5,Class 2,Class 2
653,346,3,Hoenn,Cradily,Rock,"Support, Tank",No,"Male, Female",1.5 m (4′11″),60.4 kg (133.2 lbs),86,81,81,97,107,43,495,"Suction Cups, Storm Drain",4.11,133.2,Class 3,Class 3
654,346,3,Hoenn,Cradily,Grass,"Support, Tank",No,"Male, Female",1.5 m (4′11″),60.4 kg (133.2 lbs),86,81,81,97,107,43,495,"Suction Cups, Storm Drain",4.11,133.2,Class 3,Class 3
655,347,3,Hoenn,Anorith,Rock,DPS Melee,No,"Male, Female",0.7 m (2′04″),12.5 kg (27.6 lbs),45,95,40,50,50,75,355,"Battle Armor, Swift Swim",2.04,27.6,Class 2,Class 2
656,347,3,Hoenn,Anorith,Bug,DPS Melee,No,"Male, Female",0.7 m (2′04″),12.5 kg (27.6 lbs),45,95,40,50,50,75,355,"Battle Armor, Swift Swim",2.04,27.6,Class 2,Class 2
657,348,3,Hoenn,Armaldo,Rock,"DPS Melee, Tank",No,"Male, Female",1.5 m (4′11″),68.2 kg (150.4 lbs),75,125,70,100,80,45,495,"Battle Armor, Swift Swim",4.11,150.4,Class 3,Class 3
658,348,3,Hoenn,Armaldo,Bug,"DPS Melee, Tank",No,"Male, Female",1.5 m (4′11″),68.2 kg (150.4 lbs),75,125,70,100,80,45,495,"Battle Armor, Swift Swim",4.11,150.4,Class 3,Class 3
659,349,3,Hoenn,Feebas,Water,Support,No,"Male, Female",0.6 m (2′00″),7.4 kg (16.3 lbs),20,15,10,20,55,80,200,"Swift Swim, Oblivious, Adaptability",2,16.3,Class 1,Class 1
660,350,3,Hoenn,Milotic,Water,"Healer, DPS Melee",No,"Male, Female",6.2 m (20′04″),162.0 kg (357.1 lbs),95,60,100,79,125,81,540,"Marvel Scale, Competitive, Cute Charm",20.04,357.1,Class 4,Class 4
661,351,3,Hoenn,Castform,Normal,"Mage, Support",No,"Male, Female",0.3 m (1′00″),0.8 kg (1.8 lbs),70,70,70,70,70,70,420,Forecast,1,1.8,Class 1,Class 1
662,351,3,Hoenn,"Castform
Sunny Form",Fire,Mage,No,"Male, Female",0.3 m (1′00″),0.8 kg (1.8 lbs),70,70,70,70,70,70,420,Forecast,1,1.8,Class 1,Class 1
